Fail Task Detail: 
Dispatcher 1 Fails Comms_Other,
Dispatcher 0 Fails  Referencing, But still proceed by the Operator
Dispatcher 1 Fails Comms_Other,
Dispatcher 1 Fails Record Keeping,
Dispatcher 0 Fails DM,
Dispatcher 1 Fails  Referencing, But still proceed by the Operator
Dispatcher 0 Fails Record Keeping, But still proceed by the Operator
Dispatcher 1 Fails Record Keeping,
Dispatcher 0 Fails Comms_Other,
Dispatcher 1 Fails Comms_Other, But still proceed by the Operator
Dispatcher 0 Fails Record Keeping,
Dispatcher 1 Fails Comms_Other, But still proceed by the Operator
Dispatcher 1 Fails Comms_Other, But still proceed by the Operator
Dispatcher 1 Fails Record Keeping,
Dispatcher 1 Fails Record Keeping, But still proceed by the Operator
Dispatcher 1 Fails DM,
Dispatcher 1 Fails Comms_Other, But still proceed by the Operator
Dispatcher 0 Fails  Referencing, But still proceed by the Operator
Dispatcher 1 Fails  Referencing, But still proceed by the Operator
Dispatcher 1 Fails  Referencing,
Dispatcher 1 Fails Record Keeping,
Dispatcher 0 Fails Record Keeping, But still proceed by the Operator
Dispatcher 0 Fails Comms_Other,
